iter	RMSE
237	3134.853158
238	3134.205486
239	3132.985082
240	3131.838305
241	3130.50388
242	3129.717748
243	3129.35745
244	3128.150554
245	3127.120592
246	3126.501805
247	3126.075073
248	3124.934244
249	3124.603011
250	3124.068916
251	3123.573726
252	3123.046924
253	3121.138441
254	3119.905344
255	3119.16797
256	3118.852438
257	3118.372274
258	3117.450374
259	3117.074098
260	3116.49959
261	3115.374355
262	3114.348673
263	3114.071857
264	3113.337077
265	3112.393985
266	3111.825943
267	3110.919193
268	3109.99739
269	3108.039538
270	3107.333242
271	3106.255148
272	3105.57465
273	3104.835818
274	3103.75807
275	3102.478463
276	3101.62688
277	3101.296319
278	3100.259683
279	3099.624986
280	3098.645685
281	3097.649209
282	3096.841965
283	3095.969807
284	3094.998012
285	3094.382712
286	3093.795826
287	3093.249029
288	3092.320101
289	3091.531578
290	3089.883772
291	3089.439521
292	3088.338091
293	3087.713099
294	3087.204658
295	3086.405597
296	3085.674515
297	3085.199309
298	3084.471902
299	3083.580757
300	3083.310037
301	3082.692588
302	3081.860871
303	3080.914653
304	3080.038806
305	3079.223641
306	3078.886536
307	3078.210701
308	3077.44355
309	3076.141549
310	3075.438246
311	3074.05473
312	3073.082364
313	3072.197251
314	3071.550782
315	3071.295706
316	3070.76268
317	3070.385125
318	3069.775253
319	3069.354671
320	3068.546604
321	3068.205012
322	3067.474717
323	3066.739013
324	3065.557562
325	3065.168702
326	3064.011619
327	3063.21038
328	3062.977317
329	3062.240044
330	3061.830957
331	3061.281757
332	3060.52913
333	3059.836768
334	3059.648314
335	3059.099916
336	3058.538524
337	3058.344602
338	3057.545022
339	3056.712773
340	3055.904782
341	3055.521002
342	3054.464314
343	3054.111541
344	3053.613061
345	3053.151037
346	3052.263495
347	3051.926439
348	3051.391983
349	3050.840333
350	3050.308269
351	3050.096968
352	3049.456978
353	3048.72361
354	3048.305634
355	3047.842084
356	3047.380465
357	3046.911289
358	3046.46346
359	3045.634458
360	3044.86743
361	3044.548914
362	3043.888476
363	3043.547106
364	3042.575864
365	3042.211588
366	3041.79214
367	3041.51625
368	3041.353564
369	3040.797333
370	3040.367767
371	3039.208372
372	3038.772596
373	3038.089566
374	3037.456191
375	3037.185638
376	3036.191404
377	3035.72519
378	3035.297711
379	3034.975303
380	3034.364231
381	3034.169743
382	3033.806471
383	3033.681277
384	3033.191789
385	3032.723861
386	3032.34549
387	3031.881182
388	3031.27616
389	3031.027436
390	3030.736948
391	3030.548276
392	3030.289641
393	3029.694019
394	3029.130212
395	3028.905522
396	3028.501556
397	3028.222452
398	3027.601772
399	3027.319846
400	3026.719032
401	3026.015548
402	3025.323845
403	3024.737753
404	3024.181194
405	3023.613938
406	3023.059541
407	3022.843968
408	3021.764672
409	3021.035525
410	3020.437318
411	3020.177533
412	3019.721058
413	3019.305721
414	3018.92577
415	3018.557056
416	3018.374998
417	3017.824867
418	3017.65172
419	3017.04816
420	3016.715745
421	3016.508774
422	3016.116889
423	3015.8282
424	3015.356363
425	3015.193029
426	3014.499459
427	3014.114876
428	3013.471738
429	3013.310969
430	3012.606906
431	3011.820369
432	3011.214204
433	3010.763304
434	3010.429051
435	3010.275183
436	3009.736515
437	3009.374905
438	3008.965542
439	3008.556509
440	3008.126608
441	3007.782158
442	3007.471834
443	3006.966408
444	3006.670746
445	3006.342676
446	3005.865724
447	3005.283204
448	3004.774169
449	3004.292666
450	3004.013586
451	3003.529007
452	3002.959872
453	3002.256808
454	3002.07485
455	3001.595311
456	3001.469202
457	3001.02181
458	3000.570427
459	3000.155701
460	2999.758616
461	2999.473658
462	2999.042144
463	2998.130321
464	2997.685357
465	2996.441484
466	2995.999183
467	2995.728754
468	2995.264451
469	2994.730754
470	2994.274167
471	2994.126389
472	2993.662526
473	2993.348161
474	2992.719299
475	2992.191473
476	2991.955616
477	2991.556027
478	2990.903471
479	2990.551946
480	2990.067292
481	2989.466387
482	2989.103793
483	2988.495473
484	2988.080745
485	2987.762308
486	2987.245348
487	2987.007053
488	2986.096446
489	2985.772096
490	2985.351646
491	2984.90202
492	2984.760381
493	2984.375949
494	2983.957197
495	2982.868069
496	2982.52128
497	2982.273202
498	2982.016304
499	2981.514741
500	2981.100077
501	2980.838349
502	2980.70125
503	2980.582032
504	2980.415015
505	2979.974908
506	2979.384391
507	2979.033873
508	2978.801364
509	2978.617501
510	2978.058425
511	2977.813102
512	2977.492533
513	2977.066515
514	2976.957949
515	2976.637963
516	2976.259934
517	2976.002091
518	2975.677392
519	2975.457457
520	2974.651086
521	2974.289614
522	2974.029655
523	2973.790409
524	2972.64334
525	2972.280531
526	2972.033733
527	2971.676205
528	2971.31374
529	2971.010594
530	2970.432365
531	2969.903767
532	2969.708801
533	2969.483467
534	2969.16377
535	2968.622638
536	2967.561121
537	2967.090605
538	2966.658923
539	2966.350503
540	2966.002332
541	2965.873647
542	2965.476286
543	2964.703637
544	2964.483409
545	2964.16008
546	2963.428823
547	2962.436398
548	2962.208799
549	2961.937278
550	2961.792838
551	2961.658672
552	2961.494078
553	2960.786247
554	2960.573181
555	2960.097793
556	2959.650856
557	2959.31677
558	2958.823987
559	2958.544468
560	2958.118289
561	2957.798376
562	2957.602961
563	2957.236516
564	2956.808131
565	2956.68463
566	2956.216981
567	2956.046016
568	2955.6674
569	2955.194823
570	2954.873739
571	2954.500932
572	2954.017676
573	2953.840011
574	2953.50119
575	2952.978949
576	2952.634958
577	2952.312413
578	2952.130638
579	2951.207884
580	2950.699835
581	2950.586748
582	2950.428466
583	2950.13627
584	2949.759031
585	2949.376365
586	2949.17173
587	2948.82004
588	2947.961461
589	2947.371569
590	2946.978409
591	2946.426914
592	2946.075378
593	2945.763492
594	2945.435317
595	2945.068806
596	2944.736543
597	2944.346016
598	2944.054829
599	2943.888956
600	2943.599885
601	2943.263813
602	2942.798438
603	2942.708941
604	2942.46907
605	2942.328075
606	2942.196391
607	2941.936546
608	2941.629886
609	2941.271514
610	2941.127199
611	2941.009348
612	2940.73429
613	2940.495286
614	2940.395792
615	2939.748577
616	2939.438601
617	2939.155961
618	2938.986045
619	2938.600143
620	2938.154216
621	2937.903432
622	2937.307403
623	2937.028795
624	2936.918887
625	2936.614671
626	2936.235661
627	2935.803294
628	2935.67671
629	2935.239435
630	2934.982583
631	2934.745308
632	2934.578802
633	2934.502003
634	2934.064338
635	2933.572946
636	2933.274362
637	2932.913515
638	2932.675479
639	2932.57094
640	2932.011756
641	2931.798002
642	2931.602824
643	2931.263277
644	2930.972655
645	2930.874813
646	2930.722073
647	2930.496833
648	2930.089688
649	2929.99561
650	2929.769156
651	2929.626663
652	2929.404283
653	2928.765164
654	2928.614966
655	2928.016768
656	2927.885774
657	2927.564274
658	2926.800442
659	2926.396446
660	2926.208491
661	2925.704668
662	2925.293832
663	2925.203424
664	2924.933277
665	2924.769079
666	2924.645142
667	2924.156519
668	2924.008383
669	2923.630254
670	2923.334815
671	2923.034829
672	2922.673105
673	2922.419879
674	2922.150002
675	2921.959877
676	2921.575851
677	2921.34083
678	2920.690449
679	2920.397786
680	2920.262819
681	2920.068481
682	2919.701476
683	2919.223526
684	2919.14013
685	2919.021525
686	2918.730582
687	2918.58386
688	2918.478318
689	2918.345361
690	2917.635564
691	2917.211916
692	2916.887477
693	2916.674035
694	2916.595998
695	2916.291199
696	2916.175872
697	2915.913933
698	2915.450553
699	2915.044486
700	2914.918539
701	2914.519018
702	2914.08396
703	2913.779014
704	2913.403523
705	2913.309882
706	2912.787632
707	2912.522606
708	2912.431344
709	2911.842991
710	2911.65085
711	2911.223877
712	2910.943512
713	2910.640472
714	2910.441209
715	2910.041608
716	2909.469342
717	2909.397579
718	2908.662106
719	2908.322394
720	2908.0102
721	2907.791018
722	2907.601747
723	2907.351538
724	2907.163962
725	2906.792854
726	2906.525641
727	2906.40009
728	2906.287171
729	2906.129857
730	2905.855031
731	2905.736144
732	2905.528178
733	2905.396307
734	2905.014524
735	2904.76098
736	2904.68425
737	2904.16973
738	2903.962865
739	2903.494333
740	2903.096081
741	2902.638476
742	2902.357827
743	2902.26926
744	2901.843066
745	2901.560604
746	2901.359958
747	2900.999541
748	2900.453536
749	2900.38258
750	2900.004507
751	2899.918667
752	2899.835619
753	2899.440626
754	2899.09577
755	2898.901012
756	2898.777816
757	2898.527319
758	2898.379289
759	2898.168157
760	2897.838334
761	2897.637797
762	2897.388658
763	2896.90116
764	2896.599038
765	2896.245504
766	2896.164867
767	2896.002083
768	2895.766619
769	2895.542335
770	2895.182705
771	2894.960002
772	2894.827396
773	2894.619846
774	2894.551807
775	2894.339647
776	2894.255061
777	2894.006743
778	2893.930363
779	2893.856372
780	2893.606625
781	2893.267163
782	2892.91035
783	2892.78371
784	2892.563253
785	2892.229764
786	2891.987052
787	2891.855383
788	2891.644137
789	2891.37227
790	2891.051144
791	2891.004493
792	2890.703732
793	2890.471107
794	2890.14394
795	2889.983962
796	2889.647856
797	2889.558289
798	2889.248991
799	2888.92137
800	2888.878105
801	2888.833732
802	2888.681926
803	2888.570212
804	2888.381232
805	2888.005707
806	2887.90272
807	2887.58423
808	2887.383614
809	2887.024943
810	2886.924906
811	2886.73883
812	2886.352555
813	2886.195698
814	2885.59467
815	2885.349578
816	2885.274744
817	2884.909657
818	2884.841988
819	2884.358112
820	2884.037101
821	2883.876806
822	2883.835928
823	2883.771563
824	2883.425619
825	2883.372729
826	2882.860471
827	2882.568525
828	2882.253937
829	2882.193449
830	2881.840918
831	2881.736141
832	2881.595574
833	2881.361737
834	2881.065914
835	2880.961782
836	2880.649048
837	2880.545151
838	2880.022957
839	2879.817319
840	2879.519866
841	2879.086643
842	2878.525392
843	2878.374766
844	2878.22638
845	2878.000226
846	2877.818258
847	2877.269274
848	2876.990912
849	2876.895797
850	2876.831138
851	2876.619491
852	2876.426397
853	2876.210633
854	2875.690569
855	2875.413773
856	2874.966614
857	2874.832996
858	2874.507335
859	2874.456291
860	2874.269237
861	2873.49671
862	2873.321313
863	2873.221174
864	2872.945667
865	2872.750758
866	2872.335462
867	2872.003284
868	2871.976654
869	2871.289254
870	2870.824978
871	2870.521884
872	2870.190039
873	2869.891493
874	2869.82926
875	2869.691807
876	2869.523828
877	2869.21777
878	2868.831037
879	2868.70126
880	2868.558411
881	2868.221781
882	2868.034241
883	2867.793995
884	2867.687209
885	2867.505436
886	2867.263824
887	2867.152918
888	2866.839152
889	2866.562937
890	2866.377871
891	2865.903764
892	2865.639138
893	2865.577619
894	2865.539903
895	2865.286723
896	2865.043902
897	2864.833782
898	2864.762915
899	2864.460468
900	2864.269089
901	2864.072441
902	2863.94406
903	2863.86559
904	2863.686673
905	2863.437599
906	2863.326329
907	2863.092904
908	2863.035387
909	2862.941993
910	2862.855009
911	2862.683663
912	2862.498318
913	2862.331534
914	2862.266521
915	2862.057243
916	2861.672714
917	2861.617937
918	2861.572125
919	2861.261181
920	2861.047642
921	2860.885165
922	2859.751731
923	2859.468436
924	2859.174099
925	2859.113373
926	2858.816325
927	2858.540047
928	2858.289525
929	2857.210078
930	2856.969859
931	2856.8766
932	2856.445857
933	2856.177078
934	2856.007132
935	2855.751079
936	2855.562379
937	2855.423809
938	2855.200155
939	2854.179271
940	2853.896294
941	2853.72594
942	2853.635228
943	2853.450241
944	2853.262867
945	2852.982204
946	2852.84703
947	2852.634428
948	2852.49574
949	2852.254535
950	2851.896354
951	2851.674527
952	2851.64824
953	2851.571157
954	2851.493725
955	2851.162508
956	2851.025968
957	2850.791489
958	2850.720932
959	2850.591224
960	2850.508077
961	2850.39474
962	2850.369815
963	2850.228848
964	2850.149426
965	2849.720856
966	2849.531638
967	2849.37536
968	2849.300542
969	2849.121551
970	2848.877662
971	2848.49067
972	2848.413115
973	2848.21308
974	2848.023797
975	2847.643519
976	2847.095477
977	2846.938064
978	2846.683188
979	2846.52845
980	2846.168227
981	2845.904645
982	2845.828955
983	2845.772106
984	2845.723306
985	2845.31902
986	2845.070518
987	2844.853995
988	2844.713455
989	2844.452086
990	2844.304908
991	2844.11165
992	2843.973676
993	2843.623279
994	2843.160482
995	2842.999052
996	2842.939073
997	2842.809322
998	2842.735487
999	2842.659885
