,Model,Best Params,RMSE,R²,Adjusted R²,CV RMSE,CV R²,CV Adjusted R²
0,GradientBoosting,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",2832.3160160705984,0.811878778969481,0.801818820625603,3427.145790044427,0.6858223524569478,0.6817788820895982
1,LGBM,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",2784.7113075086945,0.8181494038275631,0.8084247730162029,3555.397936282775,0.6606272616958334,0.6562595301861273
2,CatBoost,"{'model__depth': 4, 'model__learning_rate': 0.05}",2891.8223520761853,0.8038909693378582,0.7934038553987062,3714.065843261448,0.6339284694819903,0.6292171241728783
3,HistGradientBoosting,"{'model__learning_rate': 0.05, 'model__max_iter': 100}",2784.7164756326583,0.8181487288367348,0.8084240619296084,3556.0253678461095,0.660523634722917,0.6561545695327358
4,RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 100}",3003.5333959546265,0.7884469442006666,0.7771339465643387,3804.6942320580215,0.6147667608365927,0.6098088040906029
